Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.582395376,-0.046615899,0.059789225,-0.343151093,0.351426331
0.587252876,0.290097535,0.060273543,0.217222214,0.367389398
0.592109595,-0.273481011,-0.015444547,0.335978508,0.433488126
0.596965532,-0.052869648,0.044198811,-0.525444031,0.529943548
0.601822251,0.327482939,0.049478069,0.342577934,0.476500572
0.606679699,-0.269608706,0.009081677,0.28236866,0.390516826
0.611536626,-0.113607645,0.042305723,-0.713857651,0.724078184
0.616392407,0.247723222,0.045133621,0.405088425,0.476970094
0.621290584,-0.283623993,-0.031203508,0.128582001,0.312968943
0.626147616,-0.133314759,-0.029195607,-0.693205833,0.706512233
0.631004751,0.217895508,0.027754813,0.589389801,0.628990556
0.635861313,-0.13286975,0.012848988,0.031277657,0.137104919
0.64071798,-0.037049383,0.021636903,-0.500398636,0.502234614
0.645574855,0.157211304,0.030401573,0.633483887,0.653407594
0.650431574,-0.028253019,0.038920641,-0.069835663,0.084794276
0.655287459,0.048320889,0.047837898,-0.365941048,0.372204545
0.660144334,0.058722973,0.047417521,0.524729729,0.530130264
0.665001834,-0.201872677,0.020840228,-0.125448227,0.238587825
0.669858553,-0.063325822,0.032649145,-0.311892509,0.319926654
0.674724491,-0.018398643,0.039730459,0.464594841,0.466653389
0.679570949,-0.187530667,0.030313209,-0.109027863,0.219029031
0.684429074,0.032707214,0.068688154,-0.16497612,0.18167263
0.689244282,-0.005807936,0.068805873,0.327871323,0.335063553
0.694099959,-0.14367047,-0.004780173,-0.197026253,0.243892185
0.698956626,0.164338112,0.031457812,-0.059951782,0.17773808
0.703814126,0.126877308,0.036640212,0.275212288,0.30525753
0.708670845,-0.104145944,-0.065338925,-0.232785225,0.263257504
0.713526782,0.072560728,-0.02680099,-0.050416946,0.092332122
0.718383501,0.089261413,0.02559936,0.189628601,0.211144343
0.723241053,-0.104263276,-0.015197277,-0.137314796,0.173081314
0.728097824,0.042803526,0.000976354,-0.043660164,0.061149857
0.732953761,-0.002673328,0.047876149,0.10614109,0.116469753
0.737810428,-0.183398336,-0.014994368,-0.08704567,0.203560137
0.742668084,-0.019530058,0.024630874,-0.036398888,0.048093473
0.747524647,0.015815556,0.038214847,0.099245071,0.107517862
0.752380584,-0.09784174,-0.014726177,-0.032064438,0.104009588
0.757237355,0.031552792,0.01117909,0.058519363,0.067417109
0.762094855,0.090214014,0.075372562,0.131656647,0.176502306
0.766951522,0.020066917,0.039669275,-0.018974304,0.048335875
0.771807563,0.177327991,0.0472278,0.09986496,0.208922693
0.77666423,0.161886036,0.062133908,0.113155365,0.207055181
0.78152173,0.010723054,0.001001567,-0.094433784,0.095045919
0.786378449,0.036508024,-0.005068317,0.013093948,0.039114896
0.791234491,0.007703543,-0.00883624,0.029496193,0.031740339
0.796133397,-0.096140593,-0.046151787,-0.165454865,0.196845913
0.800948813,-0.083894342,-0.052879959,-0.026352882,0.102611038
0.805846678,-0.022370905,0.001762033,2.28882E-05,0.022440202
0.810702616,0.011658013,-0.005953372,-0.10910511,0.109887565
0.815559438,0.033416033,-0.016094938,0.027217865,0.046005331
0.820417928,0.076767027,0.018665433,0.03180027,0.085163561
0.825273293,0.151376009,0.001015753,-0.053909302,0.160692068
0.830129803,0.119980514,-0.023496106,0.138793945,0.184962564
0.834987095,0.07541889,0.006982327,0.054450035,0.093282196
0.839861053,0.105181992,0.018558905,-0.055317879,0.120281969
0.844700741,0.047360539,0.018453866,0.127825737,0.137560841
0.849556522,-0.02942872,0.030398279,0.031695366,0.052864934
0.854414282,0.048159063,0.045021981,-0.070717812,0.096681348
0.859270949,0.018028677,0.012325689,0.112636566,0.114734266
0.864127511,-0.082272857,0.02026239,-0.021217346,0.087347372
0.868941991,-0.033489823,-0.01229018,-0.101655006,0.107732804
0.873798657,0.055638492,-0.023316279,0.098703384,0.115679077
0.878656209,0.003890634,-0.03917326,-0.027864456,0.048229755
0.883512876,0.016559899,-0.045692712,-0.079776764,0.093415129
0.888368866,0.113265872,-0.040523082,0.101348877,0.157298674
0.893225532,0.086525142,-0.019010395,-0.020597458,0.090951914
0.898083032,0.093827665,-0.004915908,-0.127314568,0.158230199
0.902939803,0.147457659,-0.021863967,0.039813042,0.154294759
0.907795688,0.074984133,-0.015106902,0.001362801,0.076502915
0.912652459,0.024889946,-0.051140919,-0.051033974,0.076415767
0.917509959,-0.101749957,-0.027640432,0.132096291,0.169016204
0.922366782,-0.149930179,-0.016258568,-0.141962051,0.207115001
0.927222668,0.047350705,0.01673907,0.049200058,0.070305984
0.932079334,-0.055864066,-0.0027114,0.203142166,0.210700938
0.936936834,0.074724317,0.023222283,-0.275609016,0.286501881
0.941793553,0.187675357,0.02826485,0.10183239,0.215385183
0.946649491,-0.015260756,-0.02122061,0.283780098,0.284981313
0.951506209,0.016613603,-0.018178627,-0.18145752,0.183121014
0.956363709,0.198504567,-0.000454426,0.081142426,0.214448975
0.96122048,-0.063512087,-0.05444555,0.331968307,0.342346404
0.966076418,-0.071872324,-0.027728319,-0.176521301,0.192598703
0.970933241,0.125467718,0.044334903,-0.042196274,0.139600349
0.975834959,-0.161121339,-0.036256716,0.12426281,0.206678207
0.980688501,-0.092591405,-0.040845916,-0.209069252,0.232274642
0.985544855,0.198081851,-0.007358432,0.025324821,0.19982971
0.990411522,-0.106736779,-0.043000534,0.103421211,0.154718237
0.99525923,-0.184527129,-0.081236497,-0.232064247,0.307414125
1.000074282,0.141253471,-0.009826392,0.080927849,0.163090214
1.004971626,-0.061232567,-0.033750936,0.068352699,0.097778548
1.009829022,-0.12851119,-0.046059877,-0.200438499,0.24251233
1.01468673,0.198950112,0.032239527,0.059947014,0.210271678
1.019542199,0.050596833,0.00356774,0.097285271,0.109714139
1.024399438,-0.167985857,-0.044137195,-0.098222733,0.199537077
1.029255272,0.097901523,0.015560716,0.106722832,0.145659215
1.034112928,0.054448724,-0.010358706,0.169813156,0.178629433
1.038969647,-0.18072772,-0.050595179,0.033055305,0.190565039
1.043825584,-0.070216089,0.013911009,0.099266052,0.12238286
1.048641678,-0.038797259,0.02611053,0.027223587,0.054112021
1.053498293,-0.161156684,-0.018877849,-0.077377319,0.179764011
1.058354959,0.005299747,0.007616624,0.030163765,0.031558723
1.063210897,0.117394209,0.029666066,-0.046076775,0.129555181
1.068067668,-0.03295204,-0.050617754,-0.105044365,0.121170593
1.072925168,-0.023033738,-0.045106634,0.05014801,0.07127401
